session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61522dbf2c47a92e079ad3bb,masked_for_anonoymity,RETURNED,2021-09-27T20:46:57.368Z,,1269198.562369,49,632,3,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522dcdc494e223dd45ad61,masked_for_anonoymity,TIMED-OUT,2021-09-27T20:47:24.468Z,,1269171.479766,37,39,2,98,,"",Poland,United Kingdom,Full-Time,Polish,Poland,Female,Yes
61522dce176e234a12bc7244,masked_for_anonoymity,APPROVED,2021-09-27T20:47:13.886Z,2021-09-27T21:42:50.642Z,3336.756,44,37,0,100,2021-09-28T11:09:13.811Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,Yes
61522dd97572d4c584a5fc08,masked_for_anonoymity,APPROVED,2021-09-27T20:47:27.852Z,2021-09-27T21:29:42.005Z,2534.153,41,33,1,99,2021-09-28T11:09:13.894Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522e0aab4c483b4d1422a9,masked_for_anonoymity,APPROVED,2021-09-27T20:48:13.522Z,2021-09-27T21:24:16.268Z,2162.746,28,86,0,100,2021-09-28T11:09:13.986Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522e160292e530d4f832b5,masked_for_anonoymity,APPROVED,2021-09-27T20:48:24.076Z,2021-09-27T21:25:48.440Z,2244.364,39,40,0,100,2021-09-28T11:09:14.084Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522e172d2d9dfb1568c7a8,masked_for_anonoymity,APPROVED,2021-09-27T20:48:28.773Z,2021-09-27T21:50:21.361Z,3712.588,33,37,1,100,2021-09-28T11:09:14.163Z,807F37DE,Italy,United Kingdom,Full-Time,Italian,Italy,Female,No
61522e5cafeab1fb1db9c16a,masked_for_anonoymity,TIMED-OUT,2021-09-27T20:49:39.099Z,,1269036.970366,19,3,0,100,,"",United Kingdom,United Kingdom,Other,English,United Kingdom,Male,Yes
61522e63e0595f2f06cf0f2a,masked_for_anonoymity,APPROVED,2021-09-27T20:53:27.450Z,2021-09-27T21:15:22.962Z,1315.512,30,61,1,100,2021-09-28T11:09:14.250Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61522eadcee7841882716195,masked_for_anonoymity,APPROVED,2021-09-27T20:50:55.970Z,2021-09-27T21:41:39.556Z,3043.586,45,63,1,99,2021-09-28T11:09:14.333Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
